1_contact_no;2_know_yes;3_any
no soy yo;la conozco;mañana
no señorita usted se confunde;si la conozco;en la tarde
no mija se confunde;lo conozco;pasado mañana
ay no, mija, para nada;si si, lo conozco;dentro de 8 dias
no, creo que se confunde;es conocido mío;cuando guste, mas tarde
no no, señora, no soy esa persona;es conocida mía;ok
no, con quien quiere hablar?;sisi, la conozco;si
no se de quien me habla;es amiga mía;bueno
no no, muchacha, ni idea quien me hablas;trabajamos juntos;si, ahora a las 5
se equivoca señora;ah si, la conozcoes compañera de trabajo;mas tarde
Entiendo [500] podrías indicarme si conoces, o noo, a ?;De acuerdo. Tengo una información importante que brindarle a . Me podrías indicar, ¿cuándo puedo deevolverle la llamada?;Entiendo. Gracias por la información y tu tiempo. Que tengas un buen díaa
